Company Name,Title,Location,Stipend,Work From Home
Quantastic Marketing,Digital Marketing & Social Media Management,Dehradun,"₹ 8,000-10,000 /month",No
Sports For All,Field Sales,Ahmedabad,"₹ 15,000-20,000 /month",No
Eduminatti,Digital Marketing,Ahmedabad,"₹ 2,000 /month",No
Eduminatti,Social Media Marketing,Gurgaon,"₹ 5,000 /month",No
ModScale,Business Development (Sales),Bhopal,"₹ 8,000 /month",No
The Whole Truth,Business Development (Sales),Gurgaon,"₹ 3,000 /month +  Incentives",No
Crossing Hurdles,Marketing,Thane,"₹ 20,000-30,000 /month",No
MILLENNIUM WORLD SCHOOL BENGALURU NORTH,Business Development (Sales),Indore,"₹ 15,000 /month",No
Eduminatti,Content Writing,Dehradun,"₹ 5,000 /month",No
Internshala Trainings,Marketing,Dehradun,"₹ 18,000 /month",No
Crossing Hurdles,Public Relations,Bangalore,"₹ 20,000-30,000 /month",No
I-Teach,Sales,Bangalore,"₹ 5,000-12,000 /month",No
Eklavya.Me,Operations: Facility Management,Bangalore,"₹ 7,500 /month",No
MILLENNIUM WORLD SCHOOL BENGALURU NORTH,Telecalling,Bangalore,"₹ 18,000 /month",No
YourDOST Health Solutions,Growth Development (Sales),Dehradun,"₹ 17,000 /month",No
Relinns Technologies,Content Writing,Gurgaon,"₹ 8,000 /month",No
Vigorous Healthtech Private Limited,Digital Marketing,Bangalore,"₹ 5,000 /month",No
MILLENNIUM WORLD SCHOOL BENGALURU NORTH,Video Making/Editing,Mumbai,"₹ 15,000 /month",No
